LC ,LC-title ,Freq. [1/sec]
7500,Eigenform  1     1.68 Hz,1.682
7501,Eigenform  2     1.83 Hz,1.835
7502,Eigenform  3     3.31 Hz,3.308
7503,Eigenform  4     3.52 Hz,3.518
7504,Eigenform  5     3.58 Hz,3.576
7505,Eigenform  6     3.72 Hz,3.724
7506,Eigenform  7     4.30 Hz,4.304
7507,Eigenform  8     4.45 Hz,4.447
7508,Eigenform  9     4.55 Hz,4.547
7509,Eigenform 10     5.25 Hz,5.250
7600,Eigenform  1     1.52 Hz,1.518
7601,Eigenform  2     1.75 Hz,1.753
7602,Eigenform  3     3.01 Hz,3.013
7603,Eigenform  4     3.21 Hz,3.214
7604,Eigenform  5     3.40 Hz,3.399
7605,Eigenform  6     3.55 Hz,3.550
7606,Eigenform  7     3.84 Hz,3.843
7607,Eigenform  8     4.27 Hz,4.266
7608,Eigenform  9     4.37 Hz,4.366
7609,Eigenform 10     5.00 Hz,5.004
